Table 8,,,,,,,,,,,,,
NEW YORK,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,Pop_sq
Wallkill Town,"27,940",40,0,,3,16,21,767,91,650,26,1,"780,643,600"
Walton Village,"3,012",6,0,,1,0,5,68,18,50,0,,"9,072,144"
Warsaw Village,"3,453",6,0,,1,0,5,78,5,73,0,0,"11,923,209"
Washingtonville Village,"5,828",2,0,,0,1,1,58,5,51,2,0,"33,965,584"
Waterford Town and Village,"8,392",4,0,,0,0,4,59,6,52,1,0,"70,425,664"
Waterloo Village,"5,175",11,0,,0,3,8,194,23,169,2,,"26,780,625"
Watertown,"28,179",109,0,,12,16,81,"1,165",169,953,43,,"794,056,041"
Watervliet,"10,245",26,1,,3,11,11,242,58,163,21,,"104,960,025"
Watkins Glen Village,"1,862",6,0,,0,0,6,92,10,80,2,,"3,467,044"
Waverly Village,"4,337",5,0,,0,1,4,54,9,41,4,,"18,809,569"
Webster Town and Village,"43,777",21,0,,2,3,16,469,101,361,7,,"1,916,425,729"
Weedsport Village,"1,797",0,0,,0,0,0,25,5,20,0,0,"3,229,209"
Wellsville Village,"4,574",11,0,,1,0,10,164,32,129,3,1,"20,921,476"
Westhampton Beach Village,"1,732",2,0,,0,0,2,44,4,37,3,0,"2,999,824"
West Seneca Town,"44,821",35,1,,1,9,24,896,166,710,20,0,"2,008,922,041"
Whitehall Village,"2,604",6,0,,0,0,6,62,12,49,1,,"6,780,816"
White Plains,"57,559",78,1,,3,28,46,"1,232",77,"1,134",21,,"3,313,038,481"
Whitesboro Village,"3,733",4,0,,0,0,4,36,14,21,1,0,"13,935,289"
Whitestown Town,"9,141",0,0,,0,0,0,77,13,61,3,0,"83,557,881"
Woodbury Town,"10,685",3,0,,0,2,1,541,9,529,3,,"114,169,225"
Woodridge Village,829,7,0,,0,0,7,17,8,9,0,0,"687,241"
Woodstock Town,"5,931",2,0,,0,0,2,58,13,45,0,,"35,176,761"
Yonkers,"199,134","1,036",6,,25,390,615,"2,368",470,"1,662",236,10,"39,654,349,956"
Yorktown Town,"36,643",15,0,,0,2,13,334,45,287,2,,"1,342,709,449"
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,
